type,word1,word2,cosine
related,foot,hand,0.72323122722355138
related,stroller,car,0.17299204253285755
related,juic,milk,0.7832319075879608
related,mouth,nose,0.76357200982325046
related,book,ball,0.41761376366592895
related,blanket,diaper,0.50942761827854999
related,bottl,spoon,0.54258440559238152
related,dog,baby,-0.28228422563518762
related,foot,sock,0.62634813595117356
related,cooki,banana,0.50183917516606724
unrelated,sock,juic,0.2574629517367607
unrelated,milk,foot,0.16402779195825798
unrelated,banana,nose,0.13372606560290543
unrelated,mouth,cooki,0.44283698150016793
unrelated,blanket,dog,0.34442949677196177
unrelated,baby,spoon,-0.12844652919609426
unrelated,book,diaper,0.24579499512830408
unrelated,juic,car,0.32906757872266612
unrelated,nose,bottl,0.25367195606986098
unrelated,hand,stroller,0.069228655563472977
unrelated,mouth,ball,0.35252540845220826
